Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:00:00.721 GMT+0300	1.61625	1.616	1	1
01.01.2010 00:00:01.002 GMT+0300	1.61635	1.61605	1	1
01.01.2010 00:00:05.310 GMT+0300	1.6163	1.61605	1	1
01.01.2010 00:00:11.099 GMT+0300	1.61635	1.61605	1	1
01.01.2010 00:01:06.776 GMT+0300	1.61635	1.61605	1	1
01.01.2010 00:01:06.835 GMT+0300	1.6163	1.616	1	1
01.01.2010 00:01:07.005 GMT+0300	1.6163	1.6158	1	1.3
01.01.2010 00:01:07.065 GMT+0300	1.61605	1.6158	1	1
01.01.2010 00:01:07.125 GMT+0300	1.61605	1.6158	1	1
01.01.2010 00:01:07.345 GMT+0300	1.61605	1.61575	1	1
01.01.2010 00:01:10.095 GMT+0300	1.61595	1.6157	1	1
01.01.2010 00:01:10.785 GMT+0300	1.61595	1.61555	1	1
01.01.2010 00:01:26.371 GMT+0300	1.61595	1.6156	1	1
01.01.2010 00:01:27.230 GMT+0300	1.61595	1.61565	1	1
01.01.2010 00:01:28.240 GMT+0300	1.61595	1.61575	1	1
01.01.2010 00:01:31.550 GMT+0300	1.61595	1.6157	1	1
01.01.2010 00:01:33.509 GMT+0300	1.61595	1.61575	1	1
01.01.2010 00:02:05.841 GMT+0300	1.61595	1.6157	1	1
01.01.2010 00:02:30.625 GMT+0300	1.61595	1.6156	1.4	1
01.01.2010 00:02:47.952 GMT+0300	1.61595	1.61565	1.4	1
01.01.2010 00:02:48.282 GMT+0300	1.61595	1.6156	1.4	1
01.01.2010 00:03:00.919 GMT+0300	1.6158	1.61545	1	1
01.01.2010 00:03:01.389 GMT+0300	1.6158	1.61525	1	1
01.01.2010 00:03:01.738 GMT+0300	1.6158	1.61525	1.6	1
01.01.2010 00:03:02.128 GMT+0300	1.61575	1.61525	1	1
01.01.2010 00:03:05.328 GMT+0300	1.61575	1.6153	1	1
01.01.2010 00:03:07.387 GMT+0300	1.61575	1.61525	1	1
01.01.2010 00:03:09.476 GMT+0300	1.61575	1.6153	1	1
01.01.2010 00:03:11.356 GMT+0300	1.61575	1.6153	1	2.4
01.01.2010 00:03:11.526 GMT+0300	1.6158	1.6153	1	2.4
01.01.2010 00:03:12.356 GMT+0300	1.6158	1.61545	1	1
01.01.2010 00:03:13.286 GMT+0300	1.6158	1.6155	1	1
01.01.2010 00:03:13.636 GMT+0300	1.6158	1.61535	1	1
01.01.2010 00:03:13.935 GMT+0300	1.61575	1.61535	1	1
01.01.2010 00:03:15.945 GMT+0300	1.6155	1.61525	1	1
01.01.2010 00:03:19.244 GMT+0300	1.6154	1.61525	1	1
01.01.2010 00:03:19.544 GMT+0300	1.6154	1.61525	1	1
01.01.2010 00:03:27.262 GMT+0300	1.6156	1.61525	1	1
01.01.2010 00:03:28.062 GMT+0300	1.6156	1.6152	1	1
01.01.2010 00:03:28.332 GMT+0300	1.6156	1.61515	1	1
01.01.2010 00:03:36.290 GMT+0300	1.6156	1.61525	1	1
01.01.2010 00:03:37.170 GMT+0300	1.6156	1.6153	1	1
01.01.2010 00:03:37.880 GMT+0300	1.6156	1.6149	1	1
01.01.2010 00:03:38.289 GMT+0300	1.6156	1.6149	1	1
01.01.2010 00:03:44.258 GMT+0300	1.61535	1.6149	1.6	2.8
01.01.2010 00:03:44.588 GMT+0300	1.6153	1.6147	1.6	2.5
