Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:00:00.551 GMT+0300	0.88595	0.88575	1	1
01.01.2010 00:00:00.781 GMT+0300	0.88595	0.8857	4	4
01.01.2010 00:00:01.002 GMT+0300	0.88595	0.8857	4	1
01.01.2010 00:00:01.821 GMT+0300	0.886	0.8857	4.4	4
01.01.2010 00:00:02.851 GMT+0300	0.88595	0.8857	4	1
01.01.2010 00:00:03.541 GMT+0300	0.88595	0.8857	4.1	1
01.01.2010 00:00:03.771 GMT+0300	0.88595	0.8857	4	1
01.01.2010 00:00:12.651 GMT+0300	0.88595	0.8857	1	4
01.01.2010 00:00:35.223 GMT+0300	0.886	0.88575	1.2	4
01.01.2010 00:00:35.793 GMT+0300	0.886	0.88575	1	4
01.01.2010 00:00:47.140 GMT+0300	0.88595	0.88575	1	1
01.01.2010 00:00:49.280 GMT+0300	0.88595	0.8857	1	4.4
01.01.2010 00:00:49.569 GMT+0300	0.88595	0.8857	1	4
01.01.2010 00:01:02.496 GMT+0300	0.8859	0.88565	1	4.4
01.01.2010 00:01:02.616 GMT+0300	0.8859	0.88565	1	4
01.01.2010 00:01:03.306 GMT+0300	0.8859	0.8857	1	1
01.01.2010 00:01:03.656 GMT+0300	0.88595	0.88575	1.2	1
01.01.2010 00:01:04.006 GMT+0300	0.88595	0.88575	1	1
01.01.2010 00:01:04.356 GMT+0300	0.88595	0.8857	1	4.4
01.01.2010 00:01:04.656 GMT+0300	0.88595	0.8857	1	4
01.01.2010 00:01:07.065 GMT+0300	0.886	0.88575	1.2	4
01.01.2010 00:01:07.125 GMT+0300	0.886	0.88575	1	4
01.01.2010 00:01:07.175 GMT+0300	0.886	0.88575	1	5.6
01.01.2010 00:01:19.102 GMT+0300	0.886	0.88575	1	5.6
01.01.2010 00:01:19.223 GMT+0300	0.886	0.88575	1	5.6
01.01.2010 00:01:26.311 GMT+0300	0.88595	0.88575	1	1.6
01.01.2010 00:01:26.591 GMT+0300	0.88595	0.8857	1	6.4
01.01.2010 00:01:27.350 GMT+0300	0.88595	0.8857	1	6.5
01.01.2010 00:01:30.750 GMT+0300	0.88595	0.8858	1	1
01.01.2010 00:01:34.309 GMT+0300	0.886	0.8858	1.2	1
01.01.2010 00:01:34.549 GMT+0300	0.886	0.8858	1	1
