Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:00:07.534 GMT+0300	1.43156	1.43144	2.5	2.3
01.01.2010 00:00:08.005 GMT+0300	1.43155	1.43142	1.9	2.3
01.01.2010 00:00:10.392 GMT+0300	1.43155	1.43141	2.5	1.5
01.01.2010 00:00:10.833 GMT+0300	1.43154	1.43146	3.2	1.5
01.01.2010 00:00:11.162 GMT+0300	1.43159	1.43146	1.9	1.5
01.01.2010 00:00:13.122 GMT+0300	1.43161	1.43151	1.5	1.7
01.01.2010 00:00:13.885 GMT+0300	1.43167	1.43156	1.4	2.3
01.01.2010 00:00:14.030 GMT+0300	1.43176	1.43162	3.8	1.9
01.01.2010 00:00:23.600 GMT+0300	1.43186	1.4317	1.5	2.3
01.01.2010 00:00:24.153 GMT+0300	1.43187	1.43175	1.7	1.5
01.01.2010 00:00:26.207 GMT+0300	1.43182	1.43168	1.9	1.5
01.01.2010 00:00:26.555 GMT+0300	1.43173	1.43163	1.5	3.8
01.01.2010 00:00:28.876 GMT+0300	1.43168	1.43155	4.5	1.7
01.01.2010 00:00:31.446 GMT+0300	1.43159	1.43149	2.7	4.9
01.01.2010 00:00:34.796 GMT+0300	1.43153	1.43141	1.9	3
01.01.2010 00:00:36.926 GMT+0300	1.43149	1.43137	1.9	1.7
01.01.2010 00:00:39.605 GMT+0300	1.43141	1.4313	1.5	5.7
01.01.2010 00:00:41.825 GMT+0300	1.43135	1.43121	1.7	1.2
01.01.2010 00:00:43.902 GMT+0300	1.43127	1.43114	1.2	1.5
01.01.2010 00:00:46.080 GMT+0300	1.43126	1.43114	3.6	1.5
01.01.2010 00:00:46.486 GMT+0300	1.43133	1.43121	4.9	3.4
01.01.2010 00:00:46.980 GMT+0300	1.4314	1.43126	6.2	1.5
01.01.2010 00:00:49.032 GMT+0300	1.43143	1.4313	5.9	1.5
01.01.2010 00:00:51.113 GMT+0300	1.43139	1.43135	3.6	1.5
01.01.2010 00:00:51.935 GMT+0300	1.43139	1.43128	3.2	1.9
01.01.2010 00:00:53.975 GMT+0300	1.43133	1.43123	1.7	3
01.01.2010 00:00:56.285 GMT+0300	1.4313	1.43118	1.2	2.1
01.01.2010 00:01:06.479 GMT+0300	1.43131	1.43119	1.5	1.5
01.01.2010 00:01:11.188 GMT+0300	1.43138	1.43127	1.5	4.4
01.01.2010 00:01:13.232 GMT+0300	1.43143	1.43134	3.2	3.6
01.01.2010 00:01:15.622 GMT+0300	1.43145	1.43138	1.1	2.3
01.01.2010 00:01:17.913 GMT+0300	1.43149	1.43137	1.5	1.4
01.01.2010 00:01:21.100 GMT+0300	1.43151	1.43137	2.5	1.5
01.01.2010 00:01:23.097 GMT+0300	1.43149	1.43137	3.2	4.5
01.01.2010 00:01:23.893 GMT+0300	1.43147	1.43143	1.5	2.5
01.01.2010 00:01:24.862 GMT+0300	1.43155	1.43145	3.6	3
01.01.2010 00:01:27.683 GMT+0300	1.43165	1.43151	1.9	1.5
01.01.2010 00:01:30.055 GMT+0300	1.43174	1.43161	1.5	2.3
01.01.2010 00:01:33.643 GMT+0300	1.43179	1.43167	5.3	1.5
01.01.2010 00:01:36.224 GMT+0300	1.43177	1.43167	2.3	2.1
01.01.2010 00:01:39.099 GMT+0300	1.43175	1.43163	1.5	2.5
01.01.2010 00:01:39.996 GMT+0300	1.43171	1.43157	1.2	5.4
01.01.2010 00:01:41.234 GMT+0300	1.43164	1.43156	1.5	1.9
01.01.2010 00:01:44.331 GMT+0300	1.43163	1.43151	2.9	1.5
01.01.2010 00:01:44.467 GMT+0300	1.43161	1.4315	3.2	3.4
01.01.2010 00:01:46.443 GMT+0300	1.43159	1.43149	1.5	3.2
01.01.2010 00:01:50.712 GMT+0300	1.43159	1.43146	1.5	2.3
01.01.2010 00:01:53.631 GMT+0300	1.43159	1.43145	1.7	4.5
01.01.2010 00:01:59.351 GMT+0300	1.43156	1.43144	1.7	1.7
01.01.2010 00:02:04.483 GMT+0300	1.43139	1.43131	2.3	1.5
01.01.2010 00:02:06.676 GMT+0300	1.43148	1.43135	1.4	2.3
01.01.2010 00:02:08.716 GMT+0300	1.43157	1.43143	1.5	3
01.01.2010 00:02:13.258 GMT+0300	1.43165	1.43151	1.5	1.3
01.01.2010 00:02:20.121 GMT+0300	1.43166	1.43152	1.5	1.5
01.01.2010 00:02:22.800 GMT+0300	1.43158	1.43146	4.4	3.8
01.01.2010 00:02:24.094 GMT+0300	1.43149	1.43136	1.5	1.5
01.01.2010 00:02:25.428 GMT+0300	1.43139	1.43125	1.5	1.5
01.01.2010 00:02:27.617 GMT+0300	1.43129	1.43115	2.3	3
01.01.2010 00:02:35.027 GMT+0300	1.43118	1.43106	6.2	1.5
01.01.2010 00:02:45.103 GMT+0300	1.43117	1.43104	2.4	4.6
01.01.2010 00:02:45.768 GMT+0300	1.43122	1.43108	2.5	1.5
01.01.2010 00:02:48.165 GMT+0300	1.43127	1.43115	1.5	1.5
01.01.2010 00:02:50.217 GMT+0300	1.43133	1.43121	1.9	3.4
01.01.2010 00:02:52.937 GMT+0300	1.43138	1.43125	1.5	1.5
01.01.2010 00:02:55.924 GMT+0300	1.43139	1.43125	3.4	2.7
01.01.2010 00:02:56.145 GMT+0300	1.43138	1.43128	2.9	3
01.01.2010 00:02:56.370 GMT+0300	1.43135	1.43129	4.5	1.5
01.01.2010 00:02:58.568 GMT+0300	1.43136	1.43124	2.3	3.6
01.01.2010 00:03:02.366 GMT+0300	1.4315	1.43136	4.5	3.2
01.01.2010 00:03:04.466 GMT+0300	1.43154	1.43141	2.5	1.5
01.01.2010 00:03:06.629 GMT+0300	1.43158	1.43148	5.7	1.7
01.01.2010 00:03:08.838 GMT+0300	1.43166	1.43156	1.5	6.4
01.01.2010 00:03:11.639 GMT+0300	1.43174	1.43162	1.5	1.4
01.01.2010 00:03:11.768 GMT+0300	1.43174	1.43166	1.5	2.1
01.01.2010 00:03:15.189 GMT+0300	1.43166	1.43154	1.7	2.1
01.01.2010 00:03:17.640 GMT+0300	1.43155	1.43142	3.8	1.5
01.01.2010 00:03:23.178 GMT+0300	1.43141	1.43129	1.5	1.7
01.01.2010 00:03:25.369 GMT+0300	1.43131	1.43119	1.5	1.5
01.01.2010 00:03:27.480 GMT+0300	1.43126	1.43114	1.5	4.5
01.01.2010 00:03:29.679 GMT+0300	1.43127	1.43117	2.7	2.3
01.01.2010 00:03:32.550 GMT+0300	1.43134	1.43124	1.5	1.5
01.01.2010 00:03:34.560 GMT+0300	1.43139	1.43129	1.5	2.1
01.01.2010 00:03:36.958 GMT+0300	1.43143	1.43132	2.3	1.7
01.01.2010 00:03:40.831 GMT+0300	1.43148	1.43136	3.4	1.5
01.01.2010 00:03:42.409 GMT+0300	1.43152	1.43141	1.5	1.7
01.01.2010 00:03:48.807 GMT+0300	1.43153	1.43142	4	2.3
01.01.2010 00:03:52.808 GMT+0300	1.43155	1.43143	1.5	2.1
01.01.2010 00:04:03.090 GMT+0300	1.43153	1.43141	14.1	2.5
01.01.2010 00:04:31.350 GMT+0300	1.43173	1.43158	2.9	3
01.01.2010 00:04:36.470 GMT+0300	1.43172	1.4316	1.7	1.9
01.01.2010 00:04:39.418 GMT+0300	1.43147	1.43133	1.7	1.5
01.01.2010 00:04:47.089 GMT+0300	1.43128	1.43114	3.8	6.6
01.01.2010 00:04:50.105 GMT+0300	1.43128	1.43112	4.9	4.2
